ID,Language_ID,Language_name,Parameter_ID,Value,Source,Comment
1A-abi,abip1241,Abipón,1A,Moderately small,Najlis-1966,
1A-abk,abkh1244,Abkhaz,1A,Large,Hewitt-1979,
1A-ach,ache1246,Aché,1A,Small,Susnik-1974,
1A-acm,achu1247,Achumawi,1A,Moderately small,Olmsted-1964;Olmsted-1966,
1A-aco,west2632,Acoma,1A,Large,Miller-1966,
1A-adz,adze1240,Adzera,1A,Moderately small,Holzknecht-1973,
1A-agh,aghe1239,Aghem,1A,Average,Hyman-1979,
1A-aht,ahte1237,Ahtna,1A,Moderately large,Kari-1990,
1A-aik,aika1237,Aikaná,1A,Average,Hanke-1956;Aikhenvald-and-Dixon-1999[362-363],
1A-ain,ainu1240,Ainu,1A,Small,Patrie-1982;Simeon-1969,
1A-aiz,apro1235,Aizi,1A,Average,Herault-1971,
1A-akn,akan1250,Akan,1A,Average,Dolphyne-1988;Ladefoged-1964;Schachter-and-Fromkin-1968;Stewart-1967;Welmers-1946,
1A-akw,akaw1239,Akawaio,1A,Small,Edwards-1978,
1A-abm,alab1237,Alabama,1A,Small,Rand-1968,
1A-ala,alam1246,Alamblak,1A,Moderately small,Bruce-1984,
1A-alw,alaw1244,Alawa,1A,Average,Sharpe-1972,
1A-alb,gheg1238,Albanian,1A,Average,Newmark-1957,
1A-aea,aleu1260,Aleut (Eastern),1A,Average,Bergsland-1994;Cho-et-al-1997;Jacobson-1944;Menovshchikov-1968;Rozelle-1997;Bergsland-1956;Bergsland-1959,
1A-ald,alla1248,Alladian,1A,Average,Dumestre-and-Duponchel-1971;Duponchel-1971,
1A-amc,amah1246,Amahuaca,1A,Small,Osborn-1948,
1A-ame,amel1241,Amele,1A,Moderately small,Roberts-1987,
1A-amh,amha1245,Amharic,1A,Moderately large,Hayward-and-Hayward-1999,
1A-amo,amoo1242,Amo,1A,Average,Anderson-1980;Di-Luzio-1972,
1A-amz,guer1243,Amuzgo,1A,Average,Bauernschmidt-1965;Longacre-1966,
1A-adk,ando1256,Andoke,1A,Small,Landaburu-1979,
1A-ant,anga1290,Angaatiha,1A,Small,Huisman-1973;Huisman-and-Lloyd-1981;Huisman-et-al-1981,
1A-anc,ngas1240,Angas,1A,Moderately large,Burquest-1971,
1A-ani,anii1246,//Ani,1A,Large,Vossen-1986;Vossen-1997,
1A-ao,aona1235,Ao,1A,Small,Gowda-1972;Gowda-1975,
1A-api,apin1244,Apinayé,1A,Small,Burgess-and-Ham-1968,
1A-apu,apur1254,Apurinã,1A,Small,Facundes-2000,
1A-arb,arab1268,Arabela,1A,Small,Rich-1963,
1A-aeg,egyp1253,Arabic (Egyptian),1A,Moderately large,Kennedy-1960;Mitchell-1962;Tomiche-1964,
1A-ana,arao1248,Araona,1A,Average,de-Pitman-1981,
1A-arp,buki1249,Arapesh (Mountain),1A,Moderately small,Conrad-and-Wogiga-1991,
1A-arc,arch1244,Archi,1A,Large,Kodzasov-1977,
1A-arm,nucl1235,Armenian (Eastern),1A,Moderately large,Allen-1950,
1A-amp,east2379,Arrernte (Mparntwe),1A,Large,Henderson-1994,
1A-asm,tamn1235,Asmat,1A,Small,Voorhoeve-1965,
1A-ata,atay1247,Atayal,1A,Average,Egerod-1966b,
1A-ava,avar1256,Avar,1A,Large,Charachidze-1981;Zhirkov-1936,
1A-awp,awac1239,Awa Pit,1A,Small,Curnow-1997,
1A-awn,awng1244,Awngi,1A,Moderately large,Hetzron-1969;Hetzron-1976,
1A-aym,cent2142,Aymara (Central),1A,Moderately large,Martin-1969,
1A-aze,sout2697,Azerbaijani,1A,Average,Householder-and-Lofti-1965,
1A-bag,bagi1246,Bagirmi,1A,Moderately large,Stevenson-1969,
1A-bai,cent2004,Bai,1A,Moderately small,Dell-1981,
1A-bng,qaqe1238,Baining,1A,Small,Parker-and-Parker-1974,
1A-baj,indo1317,Bajau (Sama),1A,Moderately large,Verheijen-1986,
1A-bki,baka1277,Bakairí,1A,Moderately small,Wheatley-1969;Wheatley-1973,
1A-bam,bamb1269,Bambara,1A,Average,Bird-et-al-1977,
1A-byu,band1339,Bandjalang (Yugumbir),1A,Small,Cunningham-1969,
1A-brd,bard1255,Bardi,1A,Moderately small,Metcalfe-1971,
1A-brb,baat1238,Bariba,1A,Moderately small,Welmers-1952a,
1A-bsk,bash1264,Bashkir,1A,Moderately large,Poppe-1964,
1A-bsq,basq1248,Basque,1A,Average,Saltarelli-et-al-1988,
1A-bkr,bata1293,Batak (Karo),1A,Moderately small,Woollams-1996,
1A-bto,bata1289,Batak (Toba),1A,Moderately small,van-der-Tuuk-1971,
1A-baw,bawm1236,Bawm,1A,Average,Reichle-1981,
1A-bee,beem1239,Beembe,1A,Moderately small,Jacquot-1962;Jacquot-1981,
1A-bej,beja1238,Beja,1A,Average,Hudson-1974;Hudson-1976b,
1A-bco,bell1243,Bella Coola,1A,Moderately large,Nater-1984;Newman-1947,
1A-ben,beng1280,Bengali,1A,Moderately large,Ferguson-and-Chowdhury-1960;Klaiman-1990,
1A-bma,cent2194,Berber (Middle Atlas),1A,Moderately large,Abdel-Massih-1971;Penchoen-1973b,
1A-ber,bert1248,Berta,1A,Average,Triulzi-et-al-1976a,
1A-bet,dalo1238,Bété,1A,Average,Werle-and-Gbalehi-1976,
1A-bir,bero1242,Birom,1A,Average,Bouquiaux-1970;Wolff-1959,
1A-bis,biss1248,Bisa,1A,Moderately small,Naden-1973,
1A-bbf,sout2840,Bobo Madaré (Northern),1A,Average,Bris-and-Prost-1981;Morse-1976,
1A-bod,bodo1269,Bodo,1A,Moderately small,Bhat-1968,
1A-brr,boro1282,Bororo,1A,Small,Crowell-1979,
1A-brh,brah1256,Brahui,1A,Average,De-Armond-1975;Emeneau-1937;Emeneau-1962,
1A-bra,lave1249,Brao,1A,Average,Keller-1976,
1A-bre,bret1244,Breton,1A,Average,Bothorel-1982;Ternes-1970,
1A-bri,brib1243,Bribri,1A,Moderately small,Arroyo-1972,
1A-brw,west2397,Bru (Western),1A,Average,Thongkum-1979,
1A-bul,bulg1262,Bulgarian,1A,Average,Aronson-1968;Bidwell-1968;Klagstad-1958;Scatton-1984;Ternes-and-Vladimirova-Buhtz-1999,
1A-bua,bura1267,Burarra,1A,Moderately small,Glasgow-and-Glasgow-1967,
1A-brm,nucl1310,Burmese,1A,Moderately large,Okell-1969;Watkins-2001,
1A-bur,buru1296,Burushaski,1A,Large,Anderson-1997b;Morgenstierne-1945,
1A-cac,cacu1241,Cacua,1A,Small,Cathcart-1979;Anderton-1989,
1A-cad,cadd1256,Caddo,1A,Average,Chafe-1976;Chafe-1979,
1A-cah,cahu1264,Cahuilla,1A,Average,Bright-1965b;Sauvel-and-Munro-1981;Seiler-1977,
1A-cax,asha1243,Campa (Axininca),1A,Moderately small,Dirks-1953;Payne-1981,
1A-cam,cams1241,Camsá,1A,Average,Howard-1967;Howard-1972;Mongui-Sanchez-1981,
1A-ckr,cane1242,Canela-Krahô,1A,Small,Popjes-and-Popjes-1986,
1A-cnt,yuec1235,Cantonese,1A,Average,Zee-1999,
1A-car,gali1262,Carib,1A,Moderately small,Hoff-1968;Peasgood-1972,
1A-ctl,stan1289,Catalan,1A,Average,Carbonell-and-Llisteri-1999,
1A-cay,chac1249,Cayapa,1A,Average,Lindskoog-and-Brend-1962,
1A-cyv,cayu1262,Cayuvava,1A,Moderately small,Key-1961;Key-1967,
1A-cha,cham1312,Chamorro,1A,Average,Seiden-1960;Topping-1973,
1A-chw,west2650,Cham (Western),1A,Average,Blood-1967;Edmondson-and-Gregerson-1993,
1A-cso,west2644,Chatino (Sierra Occidental),1A,Moderately small,Pride-1965,
1A-chl,uppe1439,Chehalis (Upper),1A,Moderately large,Kinkade-1963,
1A-che,cher1273,Cherokee,1A,Small,Bender-and-Harris-1946;Cook-1979;Walker-1975b,
1A-cck,chic1270,Chickasaw,1A,Moderately small,Gordon-et-al-2000;Munro-et-al-2002,
1A-cle,leal1235,Chinantec (Lealao),1A,Average,Rupp-1989;Rupp-1990,
1A-chq,quio1240,Chinantec (Quiotepec),1A,Moderately large,Robbins-1961;Robbins-1968,
1A-cti,tedi1235,Chin (Tiddim),1A,Average,Henderson-1965,
1A-chp,chip1261,Chipewyan,1A,Large,Li-1932;Li-1933;Li-1946,
1A-cve,chua1250,Chuave,1A,Small,Thurman-1970,
1A-chk,chuk1273,Chukchi,1A,Moderately small,Krause-1980;Skorik-1961;Skorik-1968,
1A-chu,niva1238,Chulupí,1A,Average,Stell-1972,
1A-chv,chuv1255,Chuvash,1A,Average,Andreev-1966;Krueger-1961,
1A-cil,luba1249,CiLuba,1A,Average,de-Schryver-1999,
1A-ccp,coco1261,Cocopa,1A,Average,Crawford-1966[13],
1A-cof,cofa1242,Cofán,1A,Moderately large,Borman-1962,
1A-cmn,coma1245,Comanche,1A,Small,Charney-1993;Wistrand-Robinson-and-Armagost-1990,
1A-coo,coos1249,Coos (Hanis),1A,Large,Zenk-1990,
1A-cre,plai1258,Cree (Plains),1A,Small,Dahlstrom-1991;Vinay-1992,
1A-cub,cube1242,Cubeo,1A,Small,Morse-and-Maxwell-1999b;Salser-1971,
1A-dad,dadi1250,Dadibi,1A,Small,MacDonald-1973,
1A-dag,daga1275,Daga,1A,Small,Murane-1974,
1A-dgb,dagb1246,Dagbani,1A,Average,Olawsky-1999;Wilson-and-Bendor-Samuel-1969,
1A-dgr,daur1238,Dagur,1A,Average,Bao-1982,
1A-dah,daha1245,Dahalo,1A,Large,Maddieson-et-al-1993;Nurse-1986;Tucker-et-al-1977,
1A-ddf,darf1239,Daju (Dar Fur),1A,Average,Thelwall-1981;Tucker-and-Bryan-1966,
1A-dan,dann1241,Dan,1A,Average,Bearth-and-Zemp-1967,
1A-dnw,dang1274,Dangaléat (Western),1A,Average,Fedry-1977,
1A-dni,lowe1415,Dani (Lower Grand Valley),1A,Small,Bromley-1961;van-der-Stap-1966,
1A-dar,dara1250,Darai,1A,Moderately large,Kotapish-and-Kotapish-1973;Kotapish-and-Kotapish-1975,
1A-det,shua1254,Deti,1A,Large,Vossen-1997,
1A-die,kumi1248,Diegueño (Mesa Grande),1A,Average,Langdon-1970,
1A-din,nort2815,Dinka,1A,Average,Andersen-1987;Malou-1988,
1A-dio,jola1263,Diola-Fogny,1A,Average,Sapir-1965,
1A-diy,dier1241,Diyari,1A,Average,Austin-1981,
1A-diz,dizi1235,Dizi,1A,Average,Allan-1976b,
1A-djp,dhuw1249,Djapu,1A,Average,Morphy-1983;Rose-et-al-1982,
1A-der,dera1245,Dla (Proper),1A,Small,Voorhoeve-1971,
1A-doy,doya1240,Doyayo,1A,Average,Wiering-1974,
1A-dre,dehu1237,Drehu,1A,Moderately large,Moyse-Faurie-1983,
1A-dum,vani1248,Dumo,1A,Small,Ross-1980,
1A-dyi,dyir1250,Dyirbal,1A,Small,Dixon-1972,
1A-efi,efik1245,Efik,1A,Small,Cook-1969a,
1A-eja,ejag1239,Ejagham,1A,Average,Watters-1981,
1A-eka,ekar1243,Ekari,1A,Small,Doble-1987;Steltenpool-1969,
1A-eng,stan1293,English,1A,Average,Gimson-1970,
1A-epe,epen1239,Epena Pedee,1A,Moderately small,Harms-1984;Harms-1985;Harms-1994,
1A-evn,even1260,Even,1A,Moderately small,Novikova-1960;Novikova-1966,
1A-eve,even1259,Evenki,1A,Moderately small,Bulatova-and-Grenoble-1999;Nedjalkov-1997,
1A-ewe,ewee1241,Ewe,1A,Moderately large,Pasch-1995,
1A-ewo,ewon1239,Ewondo,1A,Moderately large,Abega-1970;Nnomo-and-Mbezele-1982;Redden-1979,
1A-eya,eyak1241,Eyak,1A,Moderately large,Krauss-1965,
1A-fas,fasu1242,Fasu,1A,Small,Loeweke-and-May-1964,
1A-fef,fefe1239,Fe'fe',1A,Moderately small,Hyman-1972,
1A-fij,fiji1243,Fijian,1A,Average,Dixon-1988,
1A-fin,finn1318,Finnish,1A,Moderately small,Harms-1964;Lehtinen-1970;Wiik-1965,
1A-fre,stan1290,French,1A,Average,Fougeron-and-Smith-1999;Sten-1963,
1A-ful,fuln1247,Fulniô,1A,Average,Lapenda-1968,
1A-fur,furr1244,Fur,1A,Moderately small,Beaton-1968;Jakobi-1990;Tucker-and-Bryan-1966,
1A-fuz,mind1253,Fuzhou,1A,Small,Chan-1985;Chen-and-Norman-1965;Hanyu-1960;Norman-1988,
1A-fye,fyam1238,Fyem,1A,Large,Nettle-1998,
1A-ga,gaaa1244,Gã,1A,Moderately large,Berry-nd;Kropp-1987,
1A-gds,gads1258,Gadsup,1A,Small,Frantz-and-Frantz-1966,
1A-gar,garo1247,Garo,1A,Moderately small,Burling-1961,
1A-grr,gara1261,Garrwa,1A,Average,Furby-1974,
1A-gbb,gbay1287,Gbeya Bossangoa,1A,Moderately large,Monino-and-Roulon-1972;Samarin-1966,
1A-gla,gela1261,Gelao,1A,Moderately large,He-1981;He-1983,
1A-geo,nucl1302,Georgian,1A,Moderately large,Hewitt-1995;Neisser-1953;Robins-and-Waterson-1952;Selmer-1935;Tschenkeli-1958;Vogt-1938;Vogt-1958;Vogt-1971,
1A-ger,stan1295,German,1A,Average,Kohler-1999;Moulton-1962;Wangler-1972,
1A-goa,wayu1243,Goajiro,1A,Small,Holmer-1949d;Mansen-1967,
1A-goo,goon1238,Gooniyandi,1A,Average,McGregor-1990,
1A-gan,apuc1241,Great Andamanese,1A,Average,Yadav-nd,
1A-grb,barc1235,Grebo,1A,Average,Innes-1966,
1A-grk,mode1248,Greek (Modern),1A,Average,Householder-et-al-1964,
1A-grw,kala1399,Greenlandic (West),1A,Average,Rischel-1974,
1A-ghb,guah1255,Guahibo,1A,Moderately small,Kondo-and-Kondo-1967,
1A-gmb,guam1248,Guambiano,1A,Moderately small,Branks-and-Branks-1973;Caudmont-1954,
1A-gua,para1311,Guaraní,1A,Moderately small,Gregores-and-Suarez-1967;Lunt-1973;Uldall-1956,
1A-gwa,gbag1258,Gwari,1A,Average,Hyman-and-Magaji-1970,
1A-had,hadz1240,Hadza,1A,Large,Sands-et-al-1996;Tucker-et-al-1977,
1A-hai,haid1248,Haida,1A,Large,Sapir-1923,
1A-hak,hakk1236,Hakka,1A,Moderately small,Hashimoto-1973,
1A-hmr,hame1242,Hamer,1A,Average,Lydall-1976,
1A-ham,hamt1247,Hamtai,1A,Small,Healey-1981;Oates-and-Oates-1968,
1A-hau,haus1257,Hausa,1A,Moderately large,Newman-2000;Schuh-and-Bagari-1999,
1A-haw,hawa1245,Hawaiian,1A,Small,Elbert-and-Pukui-1979;Pukui-and-Elbert-1965;Schutz-1981,
1A-hba,hebr1245,Hebrew (Modern Ashkenazic),1A,Moderately small,Bolozky-1978;Bolozky-1997,
1A-hin,hind1269,Hindi,1A,Large,Kelkar-1968;Ohala-1983;Ohala-1999,
1A-hix,hixk1239,Hixkaryana,1A,Moderately small,Derbyshire-1985,
1A-hmo,huam1250,Hmong Njua,1A,Large,Harriehausen-1990;Lyman-1974;Purnell-1972;Smalley-1976;Wang-1983;Wang-1985,
1A-hop,hopi1249,Hopi,1A,Average,Kluckhohn-and-MacLeish-1955;Voegelin-1956;Whorf-1946a,
1A-htc,huas1256,Huastec,1A,Average,Larsen-and-Pike-1949;McQuown-1984;Peralta-1984,
1A-hve,sanm1287,Huave (San Mateo del Mar),1A,Average,Stairs-Kreger-and-Scharfe-de-Stairs-1981;Suarez-1975,
1A-hum,muru1274,Huitoto (Murui),1A,Moderately small,Aschmann-1993;Petersen-de-Pineros-1994;Burtch-1983;Minor-et-al-1982,
1A-hun,hung1274,Hungarian,1A,Moderately large,Banhidi-et-al-1965;Hall-1944;Szende-1999,
1A-hzb,hunz1247,Hunzib,1A,Large,van-den-Berg-1995,
1A-hup,hupa1239,Hupa,1A,Moderately large,Golla-1970;Gordon-1996;Woodward-1964,
1A-iaa,iaai1238,Iaai,1A,Large,Haudricourt-1971;Maddieson-and-Anderson-1995;Ozanne-Rivierre-1976,
1A-iba,iban1264,Iban,1A,Average,Omar-1981;Scott-1957,
1A-igb,nucl1417,Igbo,1A,Moderately large,Ikekeonwu-1999,
1A-ign,igna1246,Ignaciano,1A,Average,Ott-and-Ott-1967a,
1A-ijo,izon1238,Ijo (Kolokuma),1A,Average,Williamson-1965,
1A-ik,ikkk1242,Ik,1A,Moderately large,Heine-1975b;Tucker-1971,
1A-ika,arhu1242,Ika,1A,Moderately small,Frank-1990;Tracy-and-Tracy-1973,
1A-imo,imon1245,Imonda,1A,Small,Seiler-1985,
1A-ind,indo1316,Indonesian,1A,Average,Alwi-et-al-1998,
1A-igs,gaam1241,Ingessana,1A,Average,Crewe-1975;Tucker-and-Bryan-1966,
1A-ing,ingu1240,Ingush,1A,Large,Nichols-1994b,
1A-irx,iran1263,Iranxe,1A,Average,Meader-1967,
1A-irq,iraq1241,Iraqw,1A,Moderately large,Maghway-1995;Mous-1993;Nordbustad-1988;Whiteley-1958,
1A-irr,irar1238,Irarutu,1A,Small,Voorhoeve-1989,
1A-ird,iris1253,Irish (Donegal),1A,Large,Ni-Chasaide-1999;O-Dochartaigh-1992,
1A-iso,isok1239,Isoko,1A,Moderately large,Donwa-1982,
1A-ite,itel1242,Itelmen,1A,Moderately large,Volodin-1976,
1A-ito,iton1250,Itonama,1A,Average,Liccardi-and-Grimes-1968,
1A-ivs,ivat1242,Ivatan (Southern),1A,Average,Cottle-and-Cottle-1958;Heye-and-Hidalgo-1967;Hidalgo-and-Hidalgo-1971,
1A-iwm,iwam1256,Iwam,1A,Small,Laycock-1965b,
1A-jak,popt1235,Jakaltek,1A,Moderately large,Craig-1977;Day-1973,
1A-jpn,nucl1643,Japanese,1A,Moderately small,Bloch-1950;Jorden-1963;Martin-1952;Shibatani-1990,
1A-jpr,japr1238,Japreria,1A,Small,Durbin-and-Seijas-1972,
1A-jaq,jaqa1244,Jaqaru,1A,Large,Hardman-2000,
1A-jav,java1254,Javanese,1A,Average,Fagan-1988;Herrfurth-1964;Horne-1961;Uhlenbeck-1963,
1A-jeb,jebe1250,Jebero,1A,Average,Bendor-Samuel-1961b,
1A-jeh,jehh1245,Jeh,1A,Large,Cohen-1966;Gradin-1966;Gradin-and-Gradin-1979,
1A-jng,kach1280,Jingpho,1A,Average,Liu-1964,
1A-jiv,shua1257,Jivaro,1A,Moderately small,Beasley-and-Pike-1957,
1A-jom,talo1250,Jomang,1A,Small,Schadeberg-1981a,
1A-juh,juho1239,Ju|'hoan,1A,Large,Dickens-1994;Snyman-1970;Snyman-1975,
1A-kab,kaba1278,Kabardian,1A,Large,Kuipers-1960,
1A-kad,katc1249,Kadugli,1A,Average,Abdalla-1973;Matsushita-1984,
1A-kng,kain1272,Kaingang,1A,Small,Henry-1935;Kindell-1972;Wiesemann-1972,
1A-kly,kala1377,Kala Lagaw Ya,1A,Moderately small,Kennedy-1981;Wurm-1972a,
1A-kal,kala1373,Kalami,1A,Large,Baart-1997,
1A-kgu,kalk1246,Kalkatungu,1A,Average,Blake-1979b,
1A-kzh,nort2735,Kam (Zhanglu),1A,Average,Zheng-and-Quan-1988,
1A-knk,dera1248,Kanakuru,1A,Average,Newman-1974,
1A-knd,nucl1305,Kannada,1A,Moderately large,Sridhar-1990;Steever-1998b;Upadhyaya-1972,
1A-knr,cent2050,Kanuri,1A,Average,Awobuluyi-1971;Hutchison-1981;Lukas-1937,
1A-ksg,sgaw1245,Karen (Sgaw),1A,Moderately large,Jones-1961,
1A-krk,karo1304,Karok,1A,Moderately small,Bright-1957,
1A-kas,kash1277,Kashmiri,1A,Moderately large,Bhat-1987;Kelkar-and-Trisal-1964;Zakharin-1974;Zakharin-and-Edelman-1971,
1A-kws,kawa1283,Kawaiisu,1A,Average,Zigmond-et-al-1990-1991,
1A-kyl,east2342,Kayah Li (Eastern),1A,Average,Solnit-1997,
1A-kay,kaya1319,Kayardild,1A,Moderately small,Evans-1995,
1A-ked,keda1252,Kedang,1A,Moderately small,Korner-1985;Samely-1991,
1A-kef,kafa1242,Kefa,1A,Average,Fleming-1976,
1A-kek,kekc1242,K'ekchí,1A,Average,Freeze-1975;Haeseriju-1966,
1A-ker,kera1255,Kera,1A,Average,Ebert-1976;Ebert-1979,
1A-ket,kett1243,Ket,1A,Moderately small,Dulzon-1968;Feev-1998;Krejnovich-1968a;Vajda-2000,
1A-kew,kewa1250,Kewa,1A,Moderately small,Franklin-and-Franklin-1962,
1A-kha,halh1238,Khalkha,1A,Average,Luvsanvandan-1964;Street-1963;Svantesson-1985;Hangin-1968,
1A-kty,khan1273,Khanty,1A,Moderately small,Gulya-1966;Nikolaeva-1999,
1A-khr,khar1287,Kharia,1A,Moderately large,Biligiri-1965;Pinnow-1959,
1A-khs,khas1269,Khasi,1A,Average,Rabel-1961,
1A-khm,cent1989,Khmer,1A,Average,Ehrman-1972b;Huffman-1970a;Huffman-1970b;Jacob-1968,
1A-kmu,khmu1256,Khmu',1A,Average,Svantesson-1983,
1A-kho,nama1264,Khoekhoe,1A,Moderately large,Ladefoged-and-Traill-1984;Hagman-1977;Vossen-1997,
1A-klv,kili1267,Kilivila,1A,Average,Senft-1986,
1A-kio,kiow1266,Kiowa,1A,Average,Sivertsen-1956;Watkins-1984,
1A-kgz,kirg1245,Kirghiz,1A,Average,Herbert-and-Poppe-1963;Junusaliev-1966,
1A-krb,gilb1244,Kiribati,1A,Small,Groves-et-al-1985,
1A-kss,sout2778,Kisi (Southern),1A,Moderately small,Childs-1995,
1A-kiw,nort2930,Kiwai,1A,Small,Wurm-1977,
1A-klm,klam1254,Klamath,1A,Moderately large,Barker-1963a;Barker-1964,
1A-kla,klao1243,Klao,1A,Small,Singler-1979,
1A-koa,koas1236,Koasati,1A,Small,Haas-1944;Rising-1992,
1A-kob,kobo1249,Kobon,1A,Average,Davies-1980;Davies-1981b,
1A-koh,kohu1244,Kohumono,1A,Moderately large,Cook-1969b,
1A-koi,gras1249,Koiari,1A,Small,Dutton-1969;Dutton-1996,
1A-kzy,komi1268,Komi-Zyrian,1A,Moderately large,Bubrix-1949;Lytkin-1966b,
1A-kom,komo1258,Komo,1A,Average,Tucker-and-Bryan-1966,
1A-kkn,konk1267,Konkani,1A,Average,Gajendragadkar-1970;Madtha-1984;Major-1979,
1A-kgi,wame1240,Konyagi,1A,Large,Santos-1977,
1A-kor,kore1280,Korean,1A,Average,Cho-1967;Kim-1972;Kim-1986;Lee-1999;Martin-1951;Martin-1954;Martin-and-Lee-1969,
1A-kfe,koro1298,Koromfe,1A,Moderately small,Rennison-1997,
1A-kry,kory1246,Koryak,1A,Moderately small,Zhukova-1980,
1A-kot,kota1263,Kota,1A,Average,Emeneau-1944,
1A-ktk,afad1236,Kotoko,1A,Moderately large,Bouny-1977,
1A-koy,koya1251,Koya,1A,Average,Tyler-1969,
1A-kse,koyr1242,Koyraboro Senni,1A,Moderately small,Prost-1956;Williamson-1967,
1A-kch,koyr1240,Koyra Chiini,1A,Moderately small,Heath-1999b,
1A-kpa,kpan1246,Kpan,1A,Average,Shimizu-1971,
1A-kpe,libe1247,Kpelle,1A,Average,Hyman-1973;Welmers-1962;Welmers-1973,
1A-kro,kron1241,Krongo,1A,Average,Reh-1985,
1A-kya,kuku1273,Kuku-Yalanji,1A,Small,Oates-1964b;Oates-and-Oates-1964;Wurm-1972a,
1A-kul,gamo1244,Kullo,1A,Average,Allan-1976a,
1A-kun,bord1248,Kuna,1A,Moderately small,Baptista-and-Wallin-1974;Sherzer-1983,
1A-knm,kuna1268,Kunama,1A,Average,Bender-1996,
1A-kmp,kuni1267,Kunimaipa,1A,Moderately small,Pence-1966,
1A-krd,nort2641,Kurdish (Central),1A,Moderately large,Abdulla-and-McCarus-1967;McCarus-1958,
1A-kur,kuru1302,Kurukh,1A,Average,Pfeiffer-1972;Pinnow-1964,
1A-kut,kute1249,Kutenai,1A,Moderately large,Garvin-1948a;Morgan-1991,
